Data Source,Platform/Station,URN,Lat,Lon,Observations,Status
,42397 - Delta House FPU - Mississippi Canyon 254,urn:ioos:station:wmo:42397,28.7545,-88.2673,currents,Inactive
,42867 - DeepSeas - Keathley Canyon 785,urn:ioos:station:wmo:42867,28.183,-88.629,currents,Inactive
,42877 - Q4000 - EB602,urn:ioos:station:wmo:42877,27.3783,-94.46,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42889 - Medusa - Mississippi Canyon 582,urn:ioos:station:wmo:42889,28.394,-89.465,currents,Inactive
,42890 - Front Runner - Green Canyon 338,urn:ioos:station:wmo:42890,27.625,-90.441,currents,Inactive
,42925 - ENSCO DS-5 - Mississippi Canyon 697,urn:ioos:station:wmo:42925,28.301,-88.127,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42934 - Pacific Sharav - Mississippi Canyon 607,urn:ioos:station:wmo:42934,27.5375,-90.1653,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
Noble Energy Inc (Noble Energy),,,,,,
,42854 - Atwood Condor - Green Canyon 199,urn:ioos:station:wmo:42854,27.768,-90.798,currents,Inactive
,42860 - Atwood Advantage - Mississippi Canyon 40,urn:ioos:station:wmo:42860,27.937,-90.01,currents,Inactive
,42913 - ENSCO 8501 - Green Canyon 038,urn:ioos:station:wmo:42913,28.509,-88.031,currents,Inactive
Oxy (Oxy),,,,,,
,42884 - Ocean Blackhawk - KC 919,urn:ioos:station:wmo:42884,28.893,-87.9843,currents,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,42936 - Rowan Resolute - MC387,urn:ioos:station:wmo:42936,26.0777,-92.0596,currents,Inactive
Petrobras - USA (Petrobras),,,,,,
,42856 - Titanium Explorer - Walker Ridge 425,urn:ioos:station:wmo:42856,26.52,-90.531,currents,Inactive
QuarterNorth Energy (QuarterNorth),,,,,,
,,urn:ioos:station:wmo:42866,28.0161,-88.7519,currents,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
Repsol (Repsol),,,,,,
,42903 - Rowan Renaissance - Keathley Canyon 686,urn:ioos:station:wmo:42903,26.312,-92.646,currents,Inactive
Sanibel-Captiva Conservation Foundation (SCCF RECON),,,,,,
,SCCF RECON Beautiful Island,urn:ioos:station:SCCF:18,26.6955,-81.8138,chlorophyll,Inactive
,,,,,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,SCCF RECON Blind Pass,urn:ioos:station:SCCF:12,26.4966,-82.1479,chlorophyll,Inactive
,,,,,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,SCCF RECON Fort Myers,urn:ioos:station:SCCF:53,26.6493,-81.881,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,chlorophyll,Inactive
,,,,,dewTemperature,Inactive
,,,,,dissolvedOxygen,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,SCCF RECON McIntyre Creek,urn:ioos:station:SCCF:56,26.4645,-82.1044,chlorophyll,Inactive
,,,,,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Inactive
,,,,,waterTemperature,Active
,SCCF RECON Redfish Pass,urn:ioos:station:SCCF:51,26.5545,-82.1715,airPressure,Inactive
,,,,,chlorophyll,Inactive
,,,,,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,SCCF RECON Gulf of Mexico,urn:ioos:station:SCCF:16,26.4345,-81.9647,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,chlorophyll,Inactive
,,,,,dewTemperature,Inactive
,,,,,dissolvedOxygen,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
